State,District,DistrictType,Indicators,Urban,Rural,Total
Madhya Pradesh,Indore,Urban,Any modern method4 (%),54.1,NA,52.9
Madhya Pradesh,Indore,Urban,Female sterilization (%),36.6,NA,37.3
Madhya Pradesh,Indore,Urban,Male sterilization (%),0.6,NA,0.5
Madhya Pradesh,Indore,Urban,IUD/PPIUD (%),0.8,NA,0.7
Madhya Pradesh,Indore,Urban,Pill (%),3.2,NA,3.1
Madhya Pradesh,Indore,Urban,Condom (%),12.9,NA,11.1
Madhya Pradesh,Indore,Urban,Total unmet need (%),12.4,NA,11.6
Madhya Pradesh,Indore,Urban,Unmet need for spacing (%),6.2,NA,5.7
Madhya Pradesh,Indore,Urban,Health worker ever talked to female non-users about family planning (%),23.6,NA,21.4
Madhya Pradesh,Indore,Urban,Current users ever told about side effects of current method6 (%),68.8,NA,60.3
Madhya Pradesh,Indore,Urban,Mothers who had antenatal check-up in the first trimester (%),85.4,NA,81.8
Madhya Pradesh,Indore,Urban,Mothers who had at least 4 antenatal care visits (%),76.7,NA,76.1
Madhya Pradesh,Indore,Urban,Mothers whose last birth was protected against neonatal tetanus7 (%),96.4,NA,97
Madhya Pradesh,Indore,Urban,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),36.7,NA,34.6
Madhya Pradesh,Indore,Urban,Mothers who had full antenatal care8 (%),30,NA,27.5
Madhya Pradesh,Indore,Urban,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),97.4,NA,97.7
Madhya Pradesh,Indore,Urban,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),70.6,NA,67.4
Madhya Pradesh,Indore,Urban,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),30.3,NA,33.4
Madhya Pradesh,Indore,Urban,Average out of pocket expenditure per delivery in public health facility (Rs.),"1,902",NA,"1,804"
Madhya Pradesh,Indore,Urban,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),*,NA,*
Madhya Pradesh,Indore,Urban,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),14.6,NA,13.6
Madhya Pradesh,Indore,Urban,Institutional births (%),96.1,NA,94.7
Madhya Pradesh,Indore,Urban,Institutional births in public facility (%),46.9,NA,50.6
Madhya Pradesh,Indore,Urban,Home delivery conducted by skilled health personnel (out of total deliveries) (%),1.2,NA,1
Madhya Pradesh,Indore,Urban,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),97.2,NA,95.2
Madhya Pradesh,Indore,Urban,Births delivered by caesarean section (%),24.5,NA,21.6
Madhya Pradesh,Indore,Urban,Births in a private health facility delivered by caesarean section (%),37.6,NA,36.4
Madhya Pradesh,Indore,Urban,Births in a public health facility delivered by caesarean section (%),12.7,NA,10.9
Madhya Pradesh,Indore,Urban,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",60.5,NA,57.8
Madhya Pradesh,Indore,Urban,Children age 12-23 months who have received BCG (%),96.4,NA,97
Madhya Pradesh,Indore,Urban,Children age 12-23 months who have received 3 doses of polio vaccine (%),62.8,NA,60.8
Madhya Pradesh,Indore,Urban,Children age 12-23 months who have received 3 doses of DPT vaccine (%),72.6,NA,73
Madhya Pradesh,Indore,Urban,Children age 12-23 months who have received measles vaccine (%),86,NA,82.9
Madhya Pradesh,Indore,Urban,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),55,NA,54.1
Madhya Pradesh,Indore,Urban,Children age 9-59 months who received a vitamin A dose in last 6 months (%),62.4,NA,64.5
Madhya Pradesh,Indore,Urban,Children age 12-23 months who received most of the vaccinations in public health facility (%),68.7,NA,74.1
Madhya Pradesh,Indore,Urban,Children age 12-23 months who received most of the vaccinations in private health facility (%),31.3,NA,25.9
Madhya Pradesh,Indore,Urban,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),6,NA,5.7
Madhya Pradesh,Indore,Urban,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),59.1,NA,57.9
Madhya Pradesh,Indore,Urban,Children with diarrhoea in the last 2 weeks who received zinc (%),14.5,NA,12
Madhya Pradesh,Indore,Urban,Children with diarrhoea in the last 2 weeks taken to a health facility (%),96,NA,90.7
Madhya Pradesh,Indore,Urban,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),0.2,NA,0.2
Madhya Pradesh,Indore,Urban,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),83,NA,83.3
Madhya Pradesh,Indore,Urban,Children under age 3 years breastfed within one hour of birth9 (%),23.4,NA,21.9
Madhya Pradesh,Indore,Urban,Children under age 6 months exclusively breastfed10 (%),63.8,NA,61.3
Madhya Pradesh,Indore,Urban,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),59.4,NA,60.9
Madhya Pradesh,Indore,Urban,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",14.4,NA,12
Madhya Pradesh,Indore,Urban,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",0.7,NA,0.6
Madhya Pradesh,Indore,Urban,"Total children age 6-23 months receiving an adequate diet10,11 (%)",12.3,NA,10.3
Madhya Pradesh,Indore,Urban,Children under 5 years who are stunted (height-for-age)12 (%),39.2,NA,39.2
Madhya Pradesh,Indore,Urban,Children under 5 years who are wasted (weight-for-height)12 (%),16.3,NA,17.8
Madhya Pradesh,Indore,Urban,Children under 5 years who are severely wasted (weight-for-height)13 (%),6.2,NA,6.7
Madhya Pradesh,Indore,Urban,Children under 5 years who are underweight (weight-for-age)12 (%),30,NA,30.6
Madhya Pradesh,Indore,Urban,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),17.7,NA,18.9
Madhya Pradesh,Indore,Urban,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),18.6,NA,16.8
Madhya Pradesh,Indore,Urban,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),24.3,NA,23.6
Madhya Pradesh,Indore,Urban,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),21.4,NA,22.3
Madhya Pradesh,Indore,Urban,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),71.4,NA,71.2
Madhya Pradesh,Indore,Urban,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),46.2,NA,46.5
Madhya Pradesh,Indore,Urban,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),54.4,NA,53.6
Madhya Pradesh,Indore,Urban,All women age 15-49 years who are anaemic (%),46.5,NA,46.8
Madhya Pradesh,Indore,Urban,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),21,NA,22.2
Madhya Pradesh,Indore,Urban,Blood sugar level - high (>140 mg/dl) (%),6.1,NA,5.4
Madhya Pradesh,Indore,Urban,Blood sugar level - very high (>160 mg/dl) (%),3.5,NA,3.1
Madhya Pradesh,Indore,Urban,Blood sugar level - high (>140 mg/dl) (%),8.6,NA,7.8
Madhya Pradesh,Indore,Urban,Blood sugar level - very high (>160 mg/dl) (%),2.1,NA,2.2
Madhya Pradesh,Indore,Urban,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),5.6,NA,5.2
Madhya Pradesh,Indore,Urban,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),0.8,NA,0.9
Madhya Pradesh,Indore,Urban,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),1,NA,0.8
Madhya Pradesh,Indore,Urban,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.6,NA,10.4
Madhya Pradesh,Indore,Urban,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),1.5,NA,1.1
Madhya Pradesh,Indore,Urban,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),2.3,NA,2.1
Madhya Pradesh,Indore,Urban,Cervix (%),42.5,NA,44.8
Madhya Pradesh,Indore,Urban,Breast (%),10.1,NA,9.3
Madhya Pradesh,Indore,Urban,Oral cavity (%),21.7,NA,19.5
Madhya Pradesh,Jabalpur,Urban Rural,Population (female) age 6 years and above who ever attended school (%),84.2,66.8,76.8
Madhya Pradesh,Jabalpur,Urban Rural,Population below age 15 years (%),24,28.8,26.1
Madhya Pradesh,Jabalpur,Urban Rural,"Sex ratio of the total population (females per 1,000 males)",957,952,955
Madhya Pradesh,Jabalpur,Urban Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",848,"1,009",924
Madhya Pradesh,Jabalpur,Urban Rural,Children under age 5 years whose birth was registered (%),92.6,92.9,92.8
Madhya Pradesh,Jabalpur,Urban Rural,Households with electricity (%),97.1,91.3,94.6
Madhya Pradesh,Jabalpur,Urban Rural,Households with an improved drinking-water source1 (%),99.7,92.6,96.6
Madhya Pradesh,Jabalpur,Urban Rural,Households using improved sanitation facility2 (%),67.4,21.6,47.5
Madhya Pradesh,Jabalpur,Urban Rural,Households using clean fuel for cooking3 (%),77.5,10.8,48.5
Madhya Pradesh,Jabalpur,Urban Rural,Households using iodized salt (%),96.5,84.3,91.2
Madhya Pradesh,Jabalpur,Urban Rural,Households with any usual member covered by a health scheme or health insurance (%),35.4,37.3,36.3
Madhya Pradesh,Jabalpur,Urban Rural,Women who are literate (%),83.6,59.9,73.7
Madhya Pradesh,Jabalpur,Urban Rural,Men who are literate (%),91.3,83.4,87.6
Madhya Pradesh,Jabalpur,Urban Rural,Women with 10 or more years of schooling (%),51,18.1,37.3
Madhya Pradesh,Jabalpur,Urban Rural,Women age 20-24 years married before age 18 years (%),7.3,24.1,13.9
Madhya Pradesh,Jabalpur,Urban Rural,Men age 25-29 years married before age 21 years (%),*,41.1,22.1
Madhya Pradesh,Jabalpur,Urban Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.9,7.6,4
Madhya Pradesh,Jabalpur,Urban Rural,Any method4 (%),59.6,73.6,65.9
Madhya Pradesh,Jabalpur,Urban Rural,Any modern method4 (%),53.4,71.1,61.4
Madhya Pradesh,Jabalpur,Urban Rural,Female sterilization (%),42.8,67.8,54.1
Madhya Pradesh,Jabalpur,Urban Rural,Male sterilization (%),0.3,0.1,0.3
Madhya Pradesh,Jabalpur,Urban Rural,IUD/PPIUD (%),1,1,1
Madhya Pradesh,Jabalpur,Urban Rural,Pill (%),1.1,0.4,0.8
Madhya Pradesh,Jabalpur,Urban Rural,Condom (%),7.9,1.8,5.2
Madhya Pradesh,Jabalpur,Urban Rural,Total unmet need (%),12.8,7.5,10.4
Madhya Pradesh,Jabalpur,Urban Rural,Unmet need for spacing (%),7.2,5.6,6.5
Madhya Pradesh,Jabalpur,Urban Rural,Health worker ever talked to female non-users about family planning (%),28,25.4,27.1
Madhya Pradesh,Jabalpur,Urban Rural,Current users ever told about side effects of current method6 (%),38,35.5,36.5
Madhya Pradesh,Jabalpur,Urban Rural,Mothers who had antenatal check-up in the first trimester (%),65.4,53.2,59.7
Madhya Pradesh,Jabalpur,Urban Rural,Mothers who had at least 4 antenatal care visits (%),65.9,48.1,57.5
Madhya Pradesh,Jabalpur,Urban Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),96.2,90.5,93.5
Madhya Pradesh,Jabalpur,Urban Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),49.7,36.1,43.3
Madhya Pradesh,Jabalpur,Urban Rural,Mothers who had full antenatal care8 (%),39.4,20.5,30.5
Madhya Pradesh,Jabalpur,Urban Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),90.5,95.3,92.9
Madhya Pradesh,Jabalpur,Urban Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),66.7,56.9,62.1
Madhya Pradesh,Jabalpur,Urban Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),45.9,76.5,59.5
Madhya Pradesh,Jabalpur,Urban Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),"1,877",731,"1,252"
Madhya Pradesh,Jabalpur,Urban Rural,(%),*,2.5,1.7
Madhya Pradesh,Jabalpur,Urban Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),19,23.6,21.1
Madhya Pradesh,Jabalpur,Urban Rural,Institutional births (%),92.3,84.2,88.3
Madhya Pradesh,Jabalpur,Urban Rural,Institutional births in public facility (%),57.3,78.8,68
Madhya Pradesh,Jabalpur,Urban Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),1.6,0.8,1.2
Madhya Pradesh,Jabalpur,Urban Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),90,80.8,85.4
Madhya Pradesh,Jabalpur,Urban Rural,Births delivered by caesarean section (%),32.4,4.7,18.7
Madhya Pradesh,Jabalpur,Urban Rural,Births in a private health facility delivered by caesarean section (%),54.9,*,49.1
Madhya Pradesh,Jabalpur,Urban Rural,Births in a public health facility delivered by caesarean section (%),23,5.3,12.8
Madhya Pradesh,Jabalpur,Urban Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",61.8,73.6,67.5
Madhya Pradesh,Jabalpur,Urban Rural,Children age 12-23 months who have received BCG (%),97.2,98.8,98
Madhya Pradesh,Jabalpur,Urban Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),65.2,75.8,70.3
Madhya Pradesh,Jabalpur,Urban Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),84,93.4,88.6
Madhya Pradesh,Jabalpur,Urban Rural,Children age 12-23 months who have received measles vaccine (%),85.5,94.8,90
Madhya Pradesh,Jabalpur,Urban Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),64.3,64.7,64.5
Madhya Pradesh,Jabalpur,Urban Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),67,70.6,68.8
Madhya Pradesh,Jabalpur,Urban Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),76.7,100,88
Madhya Pradesh,Jabalpur,Urban Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),22.3,0,11.4
Madhya Pradesh,Jabalpur,Urban Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),7.9,10.1,9
Madhya Pradesh,Jabalpur,Urban Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),*,55.8,58.5
Madhya Pradesh,Jabalpur,Urban Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),*,8.5,17.9
Madhya Pradesh,Jabalpur,Urban Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),*,82.5,72.5
Madhya Pradesh,Jabalpur,Urban Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),0.3,0.5,0.4
Madhya Pradesh,Jabalpur,Urban Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),*,69.8,74.7
Madhya Pradesh,Jabalpur,Urban Rural,Children under age 3 years breastfed within one hour of birth9 (%),46,52.5,49.2
Madhya Pradesh,Jabalpur,Urban Rural,Children under age 6 months exclusively breastfed10 (%),51.1,*,47.7
Madhya Pradesh,Jabalpur,Urban Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),*,*,49.2
Madhya Pradesh,Jabalpur,Urban Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",7.1,6.9,7
Madhya Pradesh,Jabalpur,Urban Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",*,*,0
Madhya Pradesh,Jabalpur,Urban Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",6.4,5.7,6
Madhya Pradesh,Jabalpur,Urban Rural,Children under 5 years who are stunted (height-for-age)12 (%),28.1,44.8,36.2
Madhya Pradesh,Jabalpur,Urban Rural,Children under 5 years who are wasted (weight-for-height)12 (%),26.7,34.8,30.7
Madhya Pradesh,Jabalpur,Urban Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),8.2,13,10.5
Madhya Pradesh,Jabalpur,Urban Rural,Children under 5 years who are underweight (weight-for-age)12 (%),33.3,52.6,42.7
Madhya Pradesh,Jabalpur,Urban Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),18.5,30,23.3
Madhya Pradesh,Jabalpur,Urban Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),21.3,29.9,25.3
Madhya Pradesh,Jabalpur,Urban Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),28.2,10.8,21
Madhya Pradesh,Jabalpur,Urban Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),20.1,9.8,15.3
Madhya Pradesh,Jabalpur,Urban Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),56.3,62.7,59.4
Madhya Pradesh,Jabalpur,Urban Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),45.2,55,49.3
Madhya Pradesh,Jabalpur,Urban Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),58.9,55.8,57.3
Madhya Pradesh,Jabalpur,Urban Rural,All women age 15-49 years who are anaemic (%),45.7,55,49.6
Madhya Pradesh,Jabalpur,Urban Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),18.4,22.2,20.2
Madhya Pradesh,Jabalpur,Urban Rural,Blood sugar level - high (>140 mg/dl) (%),5.7,4.7,5.3
Madhya Pradesh,Jabalpur,Urban Rural,Blood sugar level - very high (>160 mg/dl) (%),2.9,1.6,2.4
Madhya Pradesh,Jabalpur,Urban Rural,Blood sugar level - high (>140 mg/dl) (%),8.7,7.2,8
Madhya Pradesh,Jabalpur,Urban Rural,Blood sugar level - very high (>160 mg/dl) (%),3.8,3,3.4
Madhya Pradesh,Jabalpur,Urban Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),6.1,6,6.1
Madhya Pradesh,Jabalpur,Urban Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),1.6,1.1,1.4
Madhya Pradesh,Jabalpur,Urban Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),1.2,0.6,0.9
Madhya Pradesh,Jabalpur,Urban Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.7,5.3,9.2
Madhya Pradesh,Jabalpur,Urban Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),1.6,4.1,2.8
Madhya Pradesh,Jabalpur,Urban Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),1.1,0,0.6
Madhya Pradesh,Jabalpur,Urban Rural,Cervix (%),7.4,3.4,5.7
Madhya Pradesh,Jabalpur,Urban Rural,Breast (%),5.8,3.5,4.8
Madhya Pradesh,Jabalpur,Urban Rural,Oral cavity (%),6.1,5.1,5.7
Madhya Pradesh,Jhabua,Rural,Population (female) age 6 years and above who ever attended school (%),NA,33.6,36.4
Madhya Pradesh,Jhabua,Rural,Population below age 15 years (%),NA,41.9,41.2
Madhya Pradesh,Jhabua,Rural,"Sex ratio of the total population (females per 1,000 males)",NA,973,969
Madhya Pradesh,Jhabua,Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,"1,025","1,033"
Madhya Pradesh,Jhabua,Rural,Children under age 5 years whose birth was registered (%),NA,58.7,60.5
Madhya Pradesh,Jhabua,Rural,Households with electricity (%),NA,87.7,88.6
Madhya Pradesh,Jhabua,Rural,Households with an improved drinking-water source1 (%),NA,83.7,84.9
Madhya Pradesh,Jhabua,Rural,Households using improved sanitation facility2 (%),NA,9,13
Madhya Pradesh,Jhabua,Rural,Households using clean fuel for cooking3 (%),NA,5.1,9.1
Madhya Pradesh,Jhabua,Rural,Households using iodized salt (%),NA,93.3,93.6
Madhya Pradesh,Jhabua,Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,2.3,2.6
Madhya Pradesh,Jhabua,Rural,Women who are literate (%),NA,24.3,28
Madhya Pradesh,Jhabua,Rural,Men who are literate (%),NA,52.1,57.8
Madhya Pradesh,Jhabua,Rural,Women with 10 or more years of schooling (%),NA,6.4,9.3
Madhya Pradesh,Jhabua,Rural,Women age 20-24 years married before age 18 years (%),NA,53.8,54
Madhya Pradesh,Jhabua,Rural,Men age 25-29 years married before age 21 years (%),NA,*,*
Madhya Pradesh,Jhabua,Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,27.2,24.4
Madhya Pradesh,Jhabua,Rural,Any method4 (%),NA,8.3,10.4
Madhya Pradesh,Jhabua,Rural,Any modern method4 (%),NA,8.3,10.4
Madhya Pradesh,Jhabua,Rural,Female sterilization (%),NA,7,8.2
Madhya Pradesh,Jhabua,Rural,Male sterilization (%),NA,0,0.2
Madhya Pradesh,Jhabua,Rural,IUD/PPIUD (%),NA,0.1,0.3
Madhya Pradesh,Jhabua,Rural,Pill (%),NA,0.4,0.5
Madhya Pradesh,Jhabua,Rural,Condom (%),NA,0.8,1.1
Madhya Pradesh,Jhabua,Rural,Total unmet need (%),NA,15.7,15.2
Madhya Pradesh,Jhabua,Rural,Unmet need for spacing (%),NA,6.5,6.2
Madhya Pradesh,Jhabua,Rural,Health worker ever talked to female non-users about family planning (%),NA,22.1,21.3
Madhya Pradesh,Jhabua,Rural,Current users ever told about side effects of current method6 (%),NA,44.1,42.1
Madhya Pradesh,Jhabua,Rural,Mothers who had antenatal check-up in the first trimester (%),NA,29,29.4
Madhya Pradesh,Jhabua,Rural,Mothers who had at least 4 antenatal care visits (%),NA,20.5,20.9
Madhya Pradesh,Jhabua,Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,81,81.4
Madhya Pradesh,Jhabua,Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,18.8,19.5
Madhya Pradesh,Jhabua,Rural,Mothers who had full antenatal care8 (%),NA,4.8,5.3
Madhya Pradesh,Jhabua,Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,78.4,79.4
Madhya Pradesh,Jhabua,Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,48.9,51.2
Madhya Pradesh,Jhabua,Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,50.7,50.4
Madhya Pradesh,Jhabua,Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,935,927
Madhya Pradesh,Jhabua,Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,7.4,7.3
Madhya Pradesh,Jhabua,Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,16.5,17.3
Madhya Pradesh,Jhabua,Rural,Institutional births (%),NA,73.2,74.5
Madhya Pradesh,Jhabua,Rural,Institutional births in public facility (%),NA,65.5,66
Madhya Pradesh,Jhabua,Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),NA,4.3,4.2
Madhya Pradesh,Jhabua,Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),NA,67.5,69
Madhya Pradesh,Jhabua,Rural,Births delivered by caesarean section (%),NA,3.2,3.5
Madhya Pradesh,Jhabua,Rural,Births in a private health facility delivered by caesarean section (%),NA,26,27.7
Madhya Pradesh,Jhabua,Rural,Births in a public health facility delivered by caesarean section (%),NA,1.9,1.7
Madhya Pradesh,Jhabua,Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",NA,19.9,25
Madhya Pradesh,Jhabua,Rural,Children age 12-23 months who have received BCG (%),NA,77.8,78.4
Madhya Pradesh,Jhabua,Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),NA,26.4,30.7
Madhya Pradesh,Jhabua,Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),NA,42.8,46.2
Madhya Pradesh,Jhabua,Rural,Children age 12-23 months who have received measles vaccine (%),NA,70.3,71.7
Madhya Pradesh,Jhabua,Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),NA,19.7,23.8
Madhya Pradesh,Jhabua,Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),NA,49.6,51.5
Madhya Pradesh,Jhabua,Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),NA,100,99
Madhya Pradesh,Jhabua,Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),NA,0,1
Madhya Pradesh,Jhabua,Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),NA,11.1,11.4
Madhya Pradesh,Jhabua,Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),NA,49.2,52.2
Madhya Pradesh,Jhabua,Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),NA,16.5,17.9
Madhya Pradesh,Jhabua,Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),NA,78.6,79.1
Madhya Pradesh,Jhabua,Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),NA,2.1,2
Madhya Pradesh,Jhabua,Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),NA,59.4,62.6
Madhya Pradesh,Jhabua,Rural,Children under age 3 years breastfed within one hour of birth9 (%),NA,21.6,21
Madhya Pradesh,Jhabua,Rural,Children under age 6 months exclusively breastfed10 (%),NA,55.4,55.8
Madhya Pradesh,Jhabua,Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),NA,27.7,26.8
Madhya Pradesh,Jhabua,Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,5.1,4.8
Madhya Pradesh,Jhabua,Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,21.1,18.2
Madhya Pradesh,Jhabua,Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",NA,8.1,7.5
Madhya Pradesh,Jhabua,Rural,Children under 5 years who are stunted (height-for-age)12 (%),NA,45.8,45.6
Madhya Pradesh,Jhabua,Rural,Children under 5 years who are wasted (weight-for-height)12 (%),NA,24.1,24.4
Madhya Pradesh,Jhabua,Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),NA,8.6,9
Madhya Pradesh,Jhabua,Rural,Children under 5 years who are underweight (weight-for-age)12 (%),NA,44.1,43.6
Madhya Pradesh,Jhabua,Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),NA,31.1,30.4
Madhya Pradesh,Jhabua,Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),NA,31.3,32.6
Madhya Pradesh,Jhabua,Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),NA,9.1,9.9
Madhya Pradesh,Jhabua,Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),NA,7,6.4
Madhya Pradesh,Jhabua,Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),NA,73.4,72.4
Madhya Pradesh,Jhabua,Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),NA,58.9,57.8
Madhya Pradesh,Jhabua,Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),NA,75.5,74.2
Madhya Pradesh,Jhabua,Rural,All women age 15-49 years who are anaemic (%),NA,60,58.8
